Percentile,Accounting,Advertising/Public Relations,Aerospace Engineering,Agricultural Economics,Agriculture,Animal Science,Anthropology/Archeology,Architecture,Area/Ethnic Studies,Art History,Biological Sciences,Chemical Engineering,Chemistry,Civil Engineering,Communication Technology,Communications,Composition and Rhetoric,Computer Administration Management,Computer and Information Systems,Computer Engineering,Computer Networking and Telecommunications,Computer Programming,Computer Science,Construction,Consumer Science,Cosmetology,Criminal Justice,Criminology,Drama,Economics,Education (All),Electrical Engineering,Engineering (Other),Engineering Technologies,English Language/Literature,Environmental Science,Film/Video/Photography,Finance,Fine Arts,Foreign Languages,Forestry,General Business,Geography,Graphic Design,Health Services (General),High School,History,Hospitality,Human Resources,Human/Community Services,Humanities,Industrial Engineering,Information Science,Interdisciplinary Studies,International Business,Journalism,Liberal Arts,Linguistics/Comparative Language and Literature,Management,Management and Information Science,Marketing,Mass Media,Mathematics and Statistics,Mechanical Engineering,Medical Technologies,Music,Natural Resources Management,Number of Records,Nursing,Philosophy and Religious Studies,Physical Fitness/Parks and Recreation,Physical Sciences (not chem/physics),Physics,Plant Science,Political Science,Psychology,Public Administration,Social Sciences (Other),Social Work,Sociology,Some College but no degree,Studio Arts,Theology,Transportation Science,Treatment Therapy (All)
32,2624324,2265549,3069687,2247591,1911012,1870235,1800801,2259711,1980578,1944728,2129264,3260118,2290976,2772502,1806952,2186946,1761785,2099206,2387747,3027907,2067388,2245649,2871250,2659403,1684975,1652952,1952154,1942812,1616298,2756352,1637859,2919181,2617772,2318369,1947221,2000163,1760180,2922104,1620788,1888003,1892127,2388749,1895699,1876688,1998249,1151244,1965818,1986309,2303338,1639960,1749145,2744525,2727588,1908002,2446751,2215984,1839039,1837255,2288600,2789100,2404622,1875682,2567023,2921405,2395568,1530731,1848831,1,2740152,1781821,1757153,2142894,2420034,1779242,2367362,1889628,2261894,1873407,1674920,1927250,1456536,1463216,1292378,2582818,2185750
33,2643314,2283280,3084316,2268606,1924589,1880449,1811865,2280694,1993149,1960960,2145846,3278239,2308662,2785147,1818769,2204605,1773117,2114108,2401652,3043910,2082243,2266994,2888835,2679113,1701418,1665090,1966242,1954022,1630376,2782513,1648417,2943598,2637016,2333732,1970209,2014736,1777691,2946990,1632948,1904428,1904456,2405105,1909151,1891581,2011713,1159418,1983428,2002794,2318054,1650187,1763793,2760698,2748362,1927076,2462693,2233382,1856536,1853248,2304534,2806037,2416713,1892866,2589940,2942177,2412936,1545044,1861615,1,2758669,1799118,1769036,2159984,2442762,1789574,2392215,1902285,2280170,1889556,1688943,1939698,1467003,1473416,1301973,2603370,2202745
34,2665787,2301035,3101479,2286089,1936240,1894591,1825240,2296496,2005820,1978569,2163848,3300866,2323442,2797041,1834424,2224113,1786315,2130479,2415899,3061035,2099131,2286183,2907255,2693446,1714725,1676458,1979472,1963811,1644218,2801540,1655720,2960972,2655224,2345991,1987263,2028109,1795230,2969268,1649956,1916115,1915211,2425905,1924792,1910373,2028599,1168459,1996968,2016694,2337399,1663317,1776872,2781618,2763562,1943024,2491997,2254493,1870667,1866062,2323018,2824855,2430871,1910550,2612801,2959203,2429841,1560140,1874392,1,2775377,1814138,1784018,2176542,2457808,1802789,2409867,1919439,2293263,1905459,1700649,1958470,1477196,1490321,1310832,2623148,2215421
35,2683951,2318755,3121333,2298290,1954022,1904826,1843385,2312967,2021707,2000844,2183560,3320538,2336328,2816595,1847695,2238948,1802699,2140893,2437425,3082851,2112850,2300977,2922392,2708377,1729661,1684746,1997180,1975786,1653901,2832799,1669906,2977916,2667862,2359990,2003452,2039869,1810319,2994786,1666083,1929663,1927922,2444113,1936320,1924317,2045225,1177455,2012941,2034511,2351788,1674571,1789201,2798869,2782558,1956519,2509529,2267747,1883839,1884589,2342086,2837093,2448014,1925295,2628838,2973332,2452978,1576779,1886265,1,2792375,1828890,1796917,2190936,2478206,1815452,2431392,1932647,2310214,1919698,1714390,1971325,1488391,1504989,1320943,2643798,2231186
36,2708634,2332619,3142549,2314938,1968966,1921529,1857043,2327936,2043319,2016711,2200284,3348332,2351194,2838352,1859750,2260969,1820912,2157337,2452576,3105688,2129191,2316265,2938105,2722264,1741878,1695258,2009641,1986123,1668679,2852179,1683698,2994453,2687992,2377293,2020236,2055196,1827922,3015065,1680661,1945806,1941010,2463255,1950710,1939371,2061850,1186581,2034868,2050789,2371355,1683749,1803045,2814574,2797969,1978732,2530649,2283884,1895402,1902051,2360901,2854127,2463430,1944712,2646147,2993546,2469057,1592106,1900781,1,2809747,1839844,1808787,2203244,2494532,1828157,2446788,1946347,2324072,1932189,1726167,1990638,1499898,1516683,1329560,2656174,2248910
37,2732002,2348255,3164529,2328805,1980149,1937922,1869436,2343414,2060823,2034602,2219069,3369555,2369994,2855994,1874807,2276786,1835069,2169590,2467113,3127684,2144355,2330640,2965123,2736496,1755742,1706931,2019585,2002799,1682193,2876277,1695972,3009989,2706993,2387869,2037787,2068941,1842252,3033879,1693558,1960574,1952705,2490894,1967927,1957254,2081006,1195110,2050366,2065064,2390505,1693133,1815129,2830546,2814802,1993274,2548814,2303356,1908699,1924042,2379107,2876260,2484069,1964129,2668731,3011639,2482998,1606111,1913023,1,2827851,1860647,1818389,2220179,2519253,1841855,2463654,1965358,2341153,1940964,1739026,2004133,1510300,1528432,1341656,2675544,2270665
38,2754009,2361560,3188250,2345265,1994282,1952031,1887647,2365056,2076323,2056063,2229460,3394119,2391902,2874122,1887656,2297018,1848742,2184043,2481029,3150421,2158441,2354462,2981960,2756331,1770726,1721325,2033205,2016643,1698016,2904701,1706547,3028772,2729461,2402039,2053107,2086187,1860185,3055191,1710362,1971432,1962873,2504630,1981493,1971505,2096240,1203501,2065823,2076803,2412390,1702853,1831393,2851620,2832273,2009978,2565249,2320141,1928367,1937839,2403027,2895589,2505017,1983712,2685773,3036608,2496917,1621186,1927763,1,2843657,1873214,1832113,2236218,2540388,1853328,2482527,1981220,2357534,1953803,1750499,2017328,1521510,1541872,1351236,2701560,2284821
39,2777380,2381429,3204816,2364656,2011988,1963191,1904314,2382513,2094009,2075987,2245071,3419121,2410809,2890784,1904308,2313952,1863085,2199663,2493988,3179104,2174026,2371260,3005508,2769882,1783745,1731146,2044302,2032442,1711993,2922586,1717841,3045771,2746436,2416797,2071739,2101135,1874793,3087953,1725270,1992554,1974379,2520343,1995192,1982977,2116290,1211962,2082324,2091693,2430254,1715284,1841963,2865457,2850993,2023976,2585069,2335526,1943093,1954626,2418126,2910634,2524981,2002327,2708337,3052641,2513700,1635609,1939903,1,2856969,1886655,1842284,2253691,2558468,1864577,2499811,1991347,2373866,1965138,1766347,2031992,1531587,1557714,1361175,2718628,2303072
40,2795971,2405071,3224046,2380315,2026138,1978249,1916686,2401354,2111160,2099248,2262752,3443375,2427064,2907360,1925193,2329684,1880297,2216062,2517064,3199052,2192051,2382540,3020704,2784056,1798912,1746144,2056128,2041561,1725877,2943514,1731498,3064863,2767568,2431553,2087326,2112929,1889870,3108331,1735864,2013925,1986218,2540183,2011494,1996597,2136972,1221047,2096832,2106871,2445928,1729065,1860099,2879525,2874461,2038947,2607257,2351113,1958346,1969298,2441335,2926522,2542216,2017209,2728059,3079779,2528835,1652889,1953123,1,2876053,1905405,1855414,2266236,2582634,1878856,2520724,2004328,2392986,1977456,1780029,2053324,1543405,1571926,1370196,2738261,2317670
41,2811466,2424115,3248835,2400362,2034375,1991107,1930666,2418488,2130592,2116345,2280297,3465375,2448256,2927262,1938791,2352877,1895349,2233921,2538462,3219460,2204193,2398358,3034180,2802218,1813005,1758741,2069522,2055939,1738524,2964597,1743135,3092687,2788694,2448714,2100637,2128526,1900663,3126758,1746914,2033792,1999043,2559822,2025803,2009258,2153576,1230077,2115937,2119166,2471736,1741949,1878712,2902392,2895977,2053432,2623457,2365275,1973071,1986316,2454961,2945063,2557434,2038940,2751533,3100418,2546533,1667493,1966576,1,2894183,1922342,1869205,2283468,2598903,1889389,2545246,2024170,2408260,1989695,1790752,2069527,1553132,1584661,1381154,2754254,2336144
42,2835408,2440957,3266904,2414975,2050011,2003151,1947597,2440570,2147043,2133634,2292876,3481803,2469981,2945097,1954415,2366474,1912367,2249411,2552879,3240302,2220553,2415053,3057335,2816162,1825683,1772088,2082559,2068558,1752364,2998270,1756386,3116428,2805108,2465471,2114152,2141481,1917402,3147877,1758825,2046785,2017835,2572838,2037521,2024165,2169023,1238762,2133109,2138380,2492048,1754890,1888688,2924587,2910726,2070664,2643279,2381158,1988483,2004908,2472986,2962272,2577702,2052966,2768961,3120710,2560946,1681784,1978554,1,2912819,1937295,1881318,2300385,2614757,1904280,2567095,2039189,2425790,2004171,1806386,2084824,1564690,1605401,1393490,2773933,2353633
43,2852486,2456841,3285897,2428737,2068551,2019566,1966670,2454842,2163524,2149608,2311016,3502757,2486980,2962506,1971928,2382261,1926591,2261627,2573092,3258179,2236273,2435531,3078520,2829969,1841939,1781550,2095178,2078228,1768600,3019346,1769538,3132321,2820264,2479463,2127633,2156886,1931667,3167992,1772649,2068716,2032322,2594641,2053350,2039171,2184724,1247167,2147626,2153415,2510482,1769809,1903666,2944477,2927082,2085867,2666556,2397234,2002635,2018869,2495664,2976815,2592370,2066901,2790925,3136905,2578557,1693707,1989627,1,2929163,1949123,1892425,2319627,2643371,1916221,2588875,2053334,2441956,2019749,1816706,2102854,1574280,1615812,1404585,2790897,2368761
44,2878894,2471280,3301770,2445121,2079386,2037353,1978714,2470190,2181921,2167138,2327262,3530417,2508547,2982355,1984152,2405057,1941079,2280343,2592696,3279053,2252850,2451348,3096185,2846826,1857125,1792930,2111186,2089266,1781330,3045224,1780993,3153313,2834860,2495028,2142981,2172886,1947207,3188617,1787039,2083537,2045369,2614345,2069463,2052961,2199209,1255259,2161126,2170607,2526995,1782046,1918270,2967003,2942409,2102951,2684818,2411737,2018711,2040433,2509726,2994417,2608249,2079616,2815539,3155907,2596158,1708660,2004241,1,2944998,1969035,1912566,2336062,2668190,1930299,2612670,2064083,2457008,2034486,1829590,2118022,1585796,1627066,1417943,2811020,2385345
45,2898365,2485469,3327226,2458998,2093957,2048717,1993883,2486426,2202614,2182130,2346901,3556121,2531315,3002343,1999468,2414164,1955607,2298298,2607465,3303427,2269295,2467037,3117171,2863139,1872911,1805594,2126033,2104868,1798676,3074028,1794091,3174975,2852062,2508378,2162001,2188562,1963323,3213237,1802430,2103066,2057118,2632791,2081049,2065707,2210451,1264543,2176061,2185326,2544886,1793118,1933648,2987473,2961960,2119687,2705292,2427321,2036112,2053561,2528771,3020553,2631433,2097927,2838774,3175043,2612076,1721837,2014432,1,2962225,1986184,1927038,2347882,2689156,1939133,2628923,2079645,2470410,2050914,1843024,2131953,1597008,1639165,1425639,2827654,2399550
46,2916323,2508586,3345155,2479966,2106355,2064886,2006621,2501749,2217654,2202511,2362387,3581992,2547605,3018737,2014174,2432610,1974069,2309849,2622307,3323803,2283137,2485271,3135024,2878810,1886928,1818456,2135510,2118690,1814852,3099424,1806308,3196198,2868432,2527020,2181070,2203663,1978507,3236540,1821037,2122007,2070333,2651795,2096451,2083552,2229957,1273099,2196207,2200567,2559673,1804326,1948603,3006669,2981674,2137833,2722342,2443111,2052418,2073748,2546862,3035919,2647845,2113300,2858240,3192411,2628724,1733721,2030174,1,2982411,2000930,1939158,2367955,2711352,1952608,2652741,2093226,2488943,2064491,1858581,2147132,1607928,1650547,1434164,2847507,2412193
47,2940028,2529376,3361504,2499055,2117605,2078742,2021188,2517233,2236748,2224238,2382730,3601860,2563976,3036428,2029593,2448777,1987982,2322066,2637052,3340334,2293427,2503100,3157602,2894985,1899604,1832149,2151101,2132146,1829500,3123351,1818747,3217604,2884677,2542565,2198943,2221809,1993259,3256013,1831783,2136972,2082306,2675474,2110685,2098864,2249096,1282082,2213490,2213428,2574639,1814950,1967105,3028009,3001159,2149704,2754272,2462803,2069257,2088142,2564116,3061113,2673392,2129035,2880775,3209829,2647755,1744533,2044208,1,3000194,2015169,1948275,2389429,2729446,1966711,2674951,2108919,2503410,2078577,1873073,2161494,1620298,1666521,1443171,2868608,2426452
48,2961939,2554909,3383116,2513442,2130192,2093575,2037481,2540353,2258769,2239918,2397264,3622819,2582610,3058280,2044754,2463518,2000549,2335137,2657624,3361519,2307653,2515676,3179053,2908168,1913202,1843334,2165299,2145751,1841448,3146688,1829354,3235807,2900463,2560172,2222289,2236505,2006796,3276021,1848580,2155933,2095211,2692640,2127596,2115227,2272267,1291441,2234474,2229067,2597494,1825975,1983028,3047268,3014526,2163140,2770779,2480748,2085453,2105870,2579966,3078476,2691479,2140066,2907805,3225550,2662131,1755158,2061837,1,3014281,2031782,1960053,2400049,2746741,1984357,2690937,2120841,2515241,2092826,1886059,2179800,1633004,1679142,1456039,2893386,2442710
49,2982953,2574051,3397868,2528621,2146500,2105181,2051443,2555404,2276959,2265810,2410292,3645592,2599428,3076115,2058813,2479394,2020721,2352085,2679286,3379957,2319769,2537541,3198518,2926319,1929023,1855503,2179564,2161580,1857727,3172890,1840285,3255791,2914141,2580382,2244816,2251487,2022022,3302591,1862188,2169759,2106159,2710270,2141970,2128029,2287057,1301261,2256721,2244282,2611677,1839173,1995561,3068974,3032806,2177466,2792743,2502753,2100313,2123932,2597999,3095681,2705888,2155594,2926634,3240444,2682551,1767126,2070572,1,3033386,2047022,1974145,2414585,2766531,1992472,2708305,2133364,2535248,2108639,1901169,2194509,1643535,1691104,1468268,2907280,2456546
50,3006343,2595233,3421691,2541548,2157561,2123719,2066143,2575749,2300452,2289580,2429106,3670773,2616800,3094790,2072067,2492454,2035542,2368580,2697976,3408472,2335827,2556315,3216832,2949295,1942230,1866333,2194754,2176318,1869143,3204282,1855244,3275098,2929104,2597118,2262669,2265927,2036856,3329913,1878371,2186429,2117295,2726232,2160130,2145721,2302527,1310580,2274759,2255851,2628334,1852479,2006220,3094193,3054299,2194711,2821067,2524470,2117050,2137422,2619299,3110694,2727013,2172617,2952435,3257110,2697203,1781540,2082330,1,3049110,2058236,1987023,2436294,2790108,2004465,2728787,2149715,2552019,2119314,1909447,2207291,1654439,1705703,1477868,2923403,2474682
51,3028373,2614008,3443476,2563437,2174168,2137270,2083720,2600265,2319872,2308570,2438785,3691486,2629382,3110685,2086453,2512821,2051266,2384918,2713895,3424078,2352283,2582144,3240620,2963228,1955026,1880363,2208454,2188118,1880355,3232153,1869491,3295328,2945531,2611031,2277692,2281883,2051765,3352911,1893093,2209098,2127959,2747573,2172624,2160399,2317362,1320141,2295004,2270660,2645510,1866132,2022310,3107771,3075845,2214424,2844185,2549386,2133289,2155977,2641299,3130948,2749949,2188907,2975566,3273594,2715701,1794465,2095975,1,3066250,2075123,2000922,2457134,2813080,2016539,2745132,2167771,2563962,2136804,1922744,2221389,1666915,1720233,1488438,2944538,2491189
52,3052124,2639094,3464465,2577543,2187647,2153158,2097738,2618524,2341110,2328107,2453814,3713557,2653292,3131198,2096979,2529741,2068143,2402508,2731613,3440793,2367181,2599452,3259117,2983251,1971218,1890878,2219982,2203231,1895985,3255238,1883404,3316710,2960504,2624648,2294303,2299555,2069408,3390036,1911560,2226952,2141687,2766932,2188768,2176617,2338541,1329893,2312304,2283354,2665236,1877330,2041643,3126995,3092062,2229664,2862939,2566859,2144733,2174099,2660614,3147881,2768634,2203195,2997693,3300540,2730228,1808964,2109143,1,3090124,2088554,2013395,2475167,2832778,2031600,2761082,2180128,2580856,2153296,1937117,2232513,1677985,1736537,1496778,2967999,2508425
53,3075336,2654568,3484933,2596446,2199235,2167721,2109376,2634350,2358322,2349047,2474392,3742376,2676010,3147706,2113469,2548149,2088724,2417523,2751824,3460837,2382634,2622689,3276766,3001197,1984384,1902430,2233499,2219813,1914774,3284777,1892966,3336731,2979418,2641757,2306027,2314046,2084583,3413928,1929011,2242906,2151852,2783257,2204110,2198009,2355995,1340412,2330515,2296176,2683714,1890319,2061425,3146963,3105729,2244287,2885977,2585262,2157589,2189911,2677516,3173570,2791174,2222712,3029505,3319741,2749934,1822599,2123529,1,3107035,2100973,2033928,2492162,2853789,2046182,2786897,2200759,2595555,2164345,1956106,2251243,1689317,1749744,1503596,2983477,2522995
54,3100204,2678612,3497475,2607877,2212715,2185612,2124884,2651384,2377274,2369658,2490902,3767353,2700982,3164211,2127320,2565547,2106024,2434844,2767705,3482273,2399561,2642445,3295220,3020917,1999724,1914603,2250396,2232681,1925428,3309751,1904800,3364221,2999398,2661385,2325152,2329425,2101882,3436668,1944191,2261426,2164506,2807374,2218874,2210785,2373740,1349899,2353178,2312328,2699328,1902450,2082758,3164835,3126089,2260422,2902666,2602630,2177585,2212606,2697190,3189001,2811974,2238176,3052250,3342896,2765916,1832565,2137295,1,3127605,2119203,2051556,2511766,2878778,2061273,2806521,2217300,2619575,2178985,1970481,2267930,1700444,1762693,1516119,3014499,2542464
55,3121043,2694335,3525521,2622644,2224972,2198819,2141645,2674305,2399417,2389154,2506878,3797765,2721173,3184087,2144657,2584309,2124790,2455696,2782191,3496078,2410356,2668694,3315820,3039988,2016060,1927611,2265589,2244933,1943406,3339671,1915516,3383451,3016360,2682715,2346226,2345446,2116526,3463000,1955796,2274650,2177950,2828198,2232137,2229566,2389296,1359465,2372817,2327362,2720452,1913925,2103068,3186119,3146974,2279303,2931904,2620446,2193428,2231594,2712889,3204686,2832612,2254381,3071664,3364562,2783130,1848116,2151739,1,3148171,2139252,2064244,2531697,2902188,2081393,2822362,2237834,2640537,2195552,1985224,2283513,1712580,1781659,1528335,3032090,2557563
56,3138948,2710777,3543867,2640452,2239509,2209984,2161836,2698019,2426690,2413117,2529551,3823637,2739636,3205549,2161412,2604253,2145873,2469158,2795621,3526915,2425245,2688175,3336366,3063980,2035982,1941431,2286053,2264105,1960543,3356463,1928640,3401996,3031180,2697603,2372044,2365014,2137513,3483306,1973338,2296011,2193752,2846057,2251752,2242533,2404258,1369137,2395617,2343218,2737872,1927157,2116222,3198169,3166208,2308595,2957348,2642669,2204897,2250485,2731246,3222399,2860872,2271550,3092820,3383708,2801127,1871576,2168637,1,3167592,2157419,2079553,2549719,2922820,2099031,2841817,2258051,2662244,2211507,2004580,2297930,1724290,1793912,1540309,3048720,2582482
57,3161488,2737269,3570277,2664087,2256773,2222711,2173186,2717327,2449378,2443371,2548752,3851636,2768946,3230894,2179087,2624464,2163853,2486414,2812094,3542617,2443932,2712070,3352983,3079137,2048139,1952442,2301804,2279546,1977282,3376149,1941938,3419022,3053990,2717326,2390393,2385385,2153713,3506917,1990794,2310193,2206373,2871502,2269842,2258764,2418394,1378762,2413345,2359069,2751709,1943409,2134785,3215150,3186488,2323158,2986013,2660302,2227150,2265541,2745806,3243454,2887775,2294090,3115265,3400647,2815351,1891318,2186177,1,3183770,2182437,2097638,2567139,2947300,2115039,2858576,2276479,2678650,2223834,2012758,2319059,1738061,1810927,1551760,3072323,2603969
58,3185301,2760817,3590803,2680000,2273623,2241242,2186675,2741528,2470148,2461195,2569107,3876244,2790272,3249821,2192416,2646469,2183736,2506120,2829071,3566314,2459578,2733778,3379469,3093804,2068911,1961452,2317115,2293040,1989392,3407499,1957107,3440813,3073238,2737094,2405909,2402435,2167317,3525794,2012893,2330484,2220114,2890405,2290174,2275767,2432081,1389580,2434239,2373818,2773344,1958072,2155664,3233451,3207631,2340853,3018112,2675335,2248281,2287506,2767203,3262486,2910611,2309457,3134233,3421802,2832291,1912296,2198605,1,3199538,2197934,2109889,2582622,2968778,2134736,2878147,2300229,2699760,2243130,2027550,2344069,1750832,1828651,1562160,3088268,2621150
59,3216318,2786174,3616753,2706052,2288582,2253038,2205247,2759150,2486287,2485560,2592304,3902715,2817812,3271676,2205613,2670071,2204404,2526697,2847470,3592260,2474414,2753373,3398595,3115381,2081794,1976917,2332171,2309995,2008773,3431166,1969275,3463667,3092833,2754819,2421752,2420385,2182463,3550090,2029876,2346804,2236391,2905074,2303995,2292058,2448935,1400102,2453200,2389800,2790419,1968337,2174398,3248746,3229412,2355644,3039904,2703215,2272385,2307680,2786140,3282126,2934210,2329388,3157482,3441375,2848621,1926066,2213997,1,3220302,2215369,2127781,2600969,2994203,2149002,2910049,2321951,2717717,2262299,2039268,2363872,1762947,1842356,1572667,3115743,2637393
60,3234418,2808665,3639867,2725539,2306685,2266132,2222711,2786423,2501884,2505774,2610730,3933395,2840640,3289861,2223503,2686745,2221784,2540323,2868618,3614159,2491007,2773723,3419932,3132114,2097933,1991413,2344596,2321114,2024682,3456653,1985900,3482383,3105572,2767606,2449027,2450061,2196993,3583502,2043271,2371278,2252706,2923438,2322142,2311630,2464671,1409411,2471185,2406088,2805554,1985686,2195579,3267936,3249707,2376172,3070271,2723390,2285962,2330495,2812427,3300775,2951050,2344545,3175782,3461966,2865186,1944277,2228876,1,3239853,2235480,2141963,2628424,3021106,2164209,2938951,2336930,2733550,2282340,2052628,2389138,1776219,1859900,1585237,3141728,2657063
61,3257665,2828090,3657699,2741344,2323067,2281002,2237828,2805331,2533153,2525399,2634513,3955257,2859341,3311251,2238478,2705611,2237991,2557083,2889223,3638745,2514259,2800406,3437778,3154091,2116878,2003744,2367810,2335521,2043038,3482530,1997978,3505353,3124849,2790716,2466691,2465489,2214297,3607158,2060138,2402165,2269677,2939845,2338742,2326668,2481026,1420673,2484838,2425393,2826398,2000810,2212134,3288442,3269230,2401376,3097948,2745989,2302503,2362269,2833570,3316160,2975950,2369374,3202055,3476713,2886224,1962955,2244502,1,3264264,2253945,2159722,2643291,3043089,2179870,2958211,2354748,2751453,2302221,2068475,2407844,1789032,1876225,1597525,3158571,2673984
62,3291598,2843950,3681288,2755878,2338407,2298657,2251575,2829568,2551970,2550611,2657428,3990255,2882785,3336134,2251360,2727437,2254068,2573997,2903626,3658084,2531304,2820997,3466443,3171027,2135393,2017228,2382765,2351958,2055306,3516539,2013546,3527586,3146047,2808092,2493867,2486807,2232106,3629920,2080435,2427015,2284675,2964706,2362562,2346868,2500915,1432945,2507921,2442843,2845762,2017198,2239345,3307406,3298191,2414938,3122873,2771248,2319817,2386200,2854721,3336312,2999823,2387187,3221081,3499600,2902458,1976520,2253857,1,3282607,2270456,2177052,2661794,3067454,2196862,2981615,2374152,2773729,2320486,2083783,2424980,1801974,1894948,1608767,3185967,2695297
63,3315863,2871762,3704865,2772653,2356163,2316000,2267300,2850584,2571357,2576483,2674180,4016032,2909524,3362121,2269490,2749577,2270374,2594790,2924926,3682106,2554580,2837938,3500799,3191275,2148065,2030259,2400964,2369107,2075866,3548045,2025781,3554823,3163241,2828931,2523454,2509605,2250031,3644989,2098092,2450722,2300794,2985709,2378041,2363735,2521833,1442929,2519539,2459441,2866919,2035829,2255232,3334844,3319464,2432561,3146812,2801130,2334374,2403736,2873517,3358045,3023606,2410893,3251314,3519573,2926833,1992074,2269254,1,3304100,2287894,2196911,2680252,3090021,2211071,3010466,2391398,2787674,2337244,2099660,2448499,1815868,1911722,1619000,3202779,2719080
64,3334638,2900061,3725220,2787169,2371497,2332659,2289575,2870353,2598321,2603760,2697659,4044045,2940331,3382796,2285756,2769426,2293617,2612871,2946194,3707986,2572678,2863042,3530534,3210730,2159397,2045140,2419624,2385138,2099514,3578852,2042448,3586807,3184815,2851509,2545622,2530342,2272274,3686963,2116833,2472090,2317604,3012595,2397387,2390236,2545297,1453423,2539972,2480590,2891404,2057116,2278406,3354963,3346204,2447533,3173455,2820424,2352106,2429933,2891471,3385328,3047190,2431160,3271154,3540143,2946828,2012896,2285225,1,3330407,2307444,2211552,2700026,3106687,2228453,3031538,2409025,2814601,2357169,2113750,2468013,1828651,1932344,1636458,3224799,2742891
65,3365621,2922128,3747125,2809985,2392441,2352278,2305673,2889656,2618980,2631211,2715799,4086171,2964849,3407617,2302682,2784486,2309955,2629149,2968942,3730856,2594522,2879640,3556876,3230402,2176352,2059164,2437664,2403873,2116110,3614862,2055097,3603645,3211059,2870531,2565650,2547975,2287194,3717064,2133029,2496516,2331465,3039423,2419153,2408276,2563858,1465242,2562277,2495989,2911785,2073765,2298536,3386484,3363586,2468468,3192976,2841865,2369032,2445582,2917035,3417761,3072537,2452316,3294578,3565068,2965803,2032909,2300221,1,3349594,2324490,2230406,2719287,3135708,2250999,3054136,2428798,2833537,2376794,2129472,2483043,1843769,1952485,1649232,3252950,2759048
